"filename", "language", "JSON with Comments", "JavaScript", "TypeScript", "JSON", "HTML", "TypeScript JSX", "CSS", "SCSS", "comment", "blank", "total"
"c:\Users\Fernando\Documents\GitHub\App-Restaurante-React-ts\src\clases\platillo.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 16, 0, 0, 0, 3, 19
"c:\Users\Fernando\Documents\GitHub\App-Restaurante-React-ts\src\index.css", "CSS", 0, 0, 0, 0, 0, 0, 12, 0, 0, 2, 14
"c:\Users\Fernando\Documents\GitHub\App-Restaurante-React-ts\src\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 15, 0, 0, 3, 4, 22
"c:\Users\Fernando\Documents\GitHub\App-Restaurante-React-ts\src\react-app-env.d.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 0, 0, 1, 2, 6
"c:\Users\Fernando\Documents\GitHub\App-Restaurante-React-ts\src\reportWebVitals.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\Fernando\Documents\GitHub\App-Restaurante-React-ts\src\scss\app.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 17, 2, 1, 20
"c:\Users\Fernando\Documents\GitHub\App-Restaurante-React-ts\src\scss\base\_globales.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 117, 5, 11, 133
"c:\Users\Fernando\Documents\GitHub\App-Restaurante-React-ts\src\scss\base\_mixins.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 26, 0, 3, 29
"c:\Users\Fernando\Documents\GitHub\App-Restaurante-React-ts\src\scss\base\_normalize.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 146, 129, 74, 349
"c:\Users\Fernando\Documents\GitHub\App-Restaurante-React-ts\src\scss\base\_variables.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 13, 3, 2, 18
"c:\Users\Fernando\Documents\GitHub\App-Restaurante-React-ts\src\scss\layout\_barra.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 161, 2, 21, 184
"c:\Users\Fernando\Documents\GitHub\App-Restaurante-React-ts\src\scss\layout\_carrito.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 20, 0, 5, 25
"c:\Users\Fernando\Documents\GitHub\App-Restaurante-React-ts\src\scss\layout\_configuracion.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 5, 0, 5, 10
"c:\Users\Fernando\Documents\GitHub\App-Restaurante-React-ts\src\scss\layout\_contenido.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 23, 0, 2, 25
"c:\Users\Fernando\Documents\GitHub\App-Restaurante-React-ts\src\scss\layout\_darkMode.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 57, 0, 7, 64
"c:\Users\Fernando\Documents\GitHub\App-Restaurante-React-ts\src\scss\layout\_footer.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 24, 0, 4, 28
"c:\Users\Fernando\Documents\GitHub\App-Restaurante-React-ts\src\scss\layout\_header.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 123, 2, 13, 138
"c:\Users\Fernando\Documents\GitHub\App-Restaurante-React-ts\src\scss\layout\_home.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4
"c:\Users\Fernando\Documents\GitHub\App-Restaurante-React-ts\src\scss\layout\_login.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 41, 0, 6, 47
"c:\Users\Fernando\Documents\GitHub\App-Restaurante-React-ts\src\scss\layout\_mainApp.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 15, 0, 5, 20
"c:\Users\Fernando\Documents\GitHub\App-Restaurante-React-ts\src\scss\layout\_menu.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 83, 1, 8, 92
"c:\Users\Fernando\Documents\GitHub\App-Restaurante-React-ts\src\scss\layout\_tablas.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 18, 0, 5, 23
"c:\Users\Fernando\Documents\GitHub\App-Restaurante-React-ts\src\scss\layout\crearActualizar.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 13, 0, 3, 16
"c:\Users\Fernando\Documents\GitHub\App-Restaurante-React-ts\src\setupTests.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 4, 1, 6
"c:\Users\Fernando\Documents\GitHub\App-Restaurante-React-ts\tsconfig.json", "JSON with Comments", 26, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27
"Total", "-", 26, 20, 17, 36954, 26, 935, 926, 902, 330, 439, 40575
